n,threads,tempo_seq,tempo_par,speedup
100,2,0.000783,0.002166,0.361419
100,4,0.000783,0.000842,0.929930
100,6,0.000783,0.000640,1.222929
100,8,0.000783,0.000670,1.169362
200,2,0.007247,0.003849,1.883037
200,4,0.007247,0.002749,2.636070
200,6,0.007247,0.002045,3.543750
200,8,0.007247,0.001650,4.392835
300,2,0.025591,0.013693,1.868919
300,4,0.025591,0.008231,3.109223
300,6,0.025591,0.005690,4.497769
300,8,0.025591,0.004585,5.582117
400,2,0.061527,0.031535,1.951066
400,4,0.061527,0.020371,3.020342
400,6,0.061527,0.013333,4.614532
400,8,0.061527,0.011649,5.281641
500,2,0.127210,0.064336,1.977264
500,4,0.127210,0.038187,3.331235
500,6,0.127210,0.031066,4.094884
500,8,0.127210,0.024423,5.208581
600,2,0.236599,0.131718,1.796258
600,4,0.236599,0.073325,3.226733
600,6,0.236599,0.052326,4.521660
600,8,0.236599,0.043244,5.471265
700,2,0.339817,0.167935,2.023499
700,4,0.339817,0.112352,3.024573
700,6,0.339817,0.090899,3.738384
700,8,0.339817,0.074178,4.581070
800,2,0.544222,0.315501,1.724945
800,4,0.544222,0.169476,3.211195
800,6,0.544222,0.133396,4.079758
800,8,0.544222,0.105421,5.162391
900,2,0.914216,0.556306,1.643369
900,4,0.914216,0.366547,2.494129
900,6,0.914216,0.228613,3.998961
900,8,0.914216,0.205649,4.445519
1000,2,1.823855,1.216535,1.499221
1000,4,1.823855,0.634508,2.874441
1000,6,1.823855,0.367603,4.961478
1000,8,1.823855,0.361728,5.042057
