n,threads,tempo_seq,tempo_par,speedup
10000,2,0.000007,0.003553,0.001984
1010000,2,0.000691,0.000647,1.067362
2010000,2,0.001174,0.000875,1.341576
3010000,2,0.002557,0.001270,2.013764
4010000,2,0.003121,0.001676,1.862002
5010000,2,0.003016,0.001813,1.663635
6010000,2,0.004393,0.002325,1.889586
7010000,2,0.004177,0.002867,1.457216
8010000,2,0.005225,0.003321,1.572996
9010000,2,0.005692,0.003967,1.434869
10000,4,0.000006,0.000373,0.014905
1010000,4,0.000635,0.000488,1.300243
2010000,4,0.001192,0.000661,1.804176
3010000,4,0.002125,0.000995,2.135077
4010000,4,0.003446,0.001504,2.290231
5010000,4,0.003000,0.001606,1.868088
6010000,4,0.003733,0.001844,2.023689
7010000,4,0.005067,0.002790,1.815658
8010000,4,0.005834,0.002470,2.361378
9010000,4,0.006570,0.003729,1.761717
10000,6,0.000006,0.000412,0.015678
1010000,6,0.000725,0.000510,1.421565
2010000,6,0.001183,0.000693,1.706632
3010000,6,0.001836,0.000988,1.858348
4010000,6,0.003493,0.001619,2.157192
5010000,6,0.003273,0.001619,2.022147
6010000,6,0.003760,0.001762,2.134449
7010000,6,0.005134,0.002367,2.169337
8010000,6,0.004981,0.002357,2.113081
9010000,6,0.006938,0.002586,2.683284
10000,8,0.000006,0.000408,0.015567
1010000,8,0.000653,0.000548,1.190943
2010000,8,0.001202,0.000674,1.782181
3010000,8,0.001827,0.000896,2.039236
4010000,8,0.002446,0.001102,2.218830
5010000,8,0.003359,0.001712,1.961953
6010000,8,0.003690,0.001742,2.118345
7010000,8,0.004547,0.002003,2.269803
8010000,8,0.005739,0.002506,2.289853
9010000,8,0.005798,0.002641,2.195331
