n,threads,tempo
100,2,0.001284
200,2,0.003659
300,2,0.012817
400,2,0.030117
500,2,0.057948
600,2,0.101876
700,2,0.171112
800,2,0.285869
900,2,0.518732
1000,2,0.770579
100,4,0.000709
200,4,0.002395
300,4,0.007636
400,4,0.015876
500,4,0.034944
600,4,0.072495
700,4,0.091436
800,4,0.152324
900,4,0.285501
1000,4,0.442007
100,6,0.000793
200,6,0.002299
300,6,0.005669
400,6,0.013288
500,6,0.027554
600,6,0.047651
700,6,0.080684
800,6,0.121649
900,6,0.228069
1000,6,0.402444
100,8,0.000825
200,8,0.001818
300,8,0.004385
400,8,0.011520
500,8,0.020081
600,8,0.037611
700,8,0.068413
800,8,0.116002
900,8,0.194634
1000,8,0.418086
